,Unnamed: 0,Accel,Decel,tau,lb,actionStepLength,minGap,error,jmDriveAfterYellowTime
0,34,3.61367221,1.421672286,3.08011689,3.198415914,0.678511425,1.369770226,0.22698627,3.3
1,189,4.220696998,4.125397453,2.789875449,2.835906616,1.093543637,7.480169324,0.226506861,2.8
2,44,1.226747901,2.294090132,2.501883344,1.827113865,1.193763187,5.935500324,0.222706604,1.8
3,59,3.930687578,3.613544697,4.033063295,2.577720265,1.75684412,1.920041975,0.217474326,3.8
4,117,1.233209476,1.687305992,2.611628755,1.408343675,0.831932897,2.622241986,0.217229822,2.8
5,188,1.515740888,2.263224389,3.824421187,2.590366938,1.731843082,3.680655675,0.217137776,2.8
6,110,1.486912825,2.428124076,3.606604256,1.401157829,1.424049018,3.030242143,0.209962615,3.8
7,125,4.115447666,1.008533877,2.62725633,3.65854469,0.854315113,1.048078441,0.20896367,3.3
8,97,1.419702996,1.701495089,1.87863885,3.047601746,1.634516529,1.785853862,0.204985847,3.3
9,190,1.624390898,2.419256913,2.636086401,3.650839475,0.524465839,3.492973788,0.204461829,0.8
10,9,1.557063421,1.925273725,2.38221686,3.751443381,0.992065269,1.870088302,0.201489965,0.8
11,168,3.313059318,3.616408578,3.768736905,1.624444519,0.646015976,1.567560437,0.198291025,2.8
12,62,3.916594314,1.548586279,3.928230738,3.742585393,0.50863705,5.458074244,0.192858694,2.8
13,28,0.825847767,4.102057192,3.905713056,3.021283175,0.461816417,3.617524334,0.187681342,3.3
14,167,0.862797637,1.79886243,2.867056695,3.325333656,1.22489059,1.698535015,0.184412055,2.3
15,118,1.424658936,2.508723918,2.108368604,3.739577784,0.146369336,1.987880086,0.179892459,2.8
16,164,1.162995498,2.152938902,2.41943877,3.272744159,0.174832787,3.523515736,0.178996588,3.3
17,146,3.532086298,3.835284918,3.966089035,3.889819609,1.410195232,1.881876928,0.177802648,2.8
18,79,1.730142324,3.152742071,2.839350357,4.027680315,1.509414059,3.223726666,0.174242342,1.3
19,196,0.92925864,1.969919285,2.430626037,2.319029242,0.228621111,3.458669264,0.167689332,3.3
20,30,1.117492552,2.58690556,3.890687631,1.484179522,0.937448473,2.216727675,0.167582828,3.8
21,145,2.43538923,2.154208275,2.12455303,2.871818086,0.622048051,1.924170593,0.166631476,3.3
22,39,3.317366765,4.198495291,2.73217653,1.687288433,1.259677063,2.111405125,0.158311328,2.8
23,137,3.432085004,3.885395646,2.692414318,2.851126955,0.866542645,2.478717288,0.154725601,3.8
24,17,0.920909088,3.177066323,2.252316687,1.443074948,0.185877209,1.822894349,0.153744538,2.8
25,50,3.238642919,4.038904222,4.552332777,1.450500305,1.039666412,3.548009974,0.153473523,1.8
26,152,0.923088569,3.079500507,2.861987535,3.340469456,0.926272116,2.805574565,0.152896453,3.3
27,72,1.824237379,1.500943568,3.76715476,1.368836175,0.119683552,3.828002335,0.149789012,3.8
28,195,3.255382641,1.387561889,1.733822542,3.011822856,1.51362533,4.834283968,0.149784605,2.8
29,6,2.224757329,1.506751333,3.562620604,1.891959497,0.579318475,2.945816576,0.145803657,2.3
30,144,1.561498981,1.12462703,4.610390087,2.778122535,1.396449768,1.461027524,0.145390333,2.8
31,183,4.147659954,1.17565615,4.495669548,4.166401014,0.478266376,5.832447049,0.144029681,3.3
32,12,0.817099798,4.022813137,4.005720593,1.174600147,1.389197313,4.306456655,0.143626944,2.8
33,55,0.786555186,1.481986431,3.399698694,2.805714623,0.664723833,4.947776083,0.14223314,2.8
34,155,1.020063706,3.811690842,2.998258157,2.505956709,1.044077681,2.779254639,0.142170192,2.8
35,149,1.708283702,2.967595159,1.881656752,3.096853566,1.708822766,3.903659128,0.1387243,3.8
36,138,2.29965813,4.176590719,2.54658826,2.434453183,1.342990829,3.579185912,0.138282947,2.8
37,81,3.030396989,2.243072752,2.727215421,4.193987676,1.539626695,3.175195934,0.126205679,2.8
38,22,0.779917976,1.763410155,1.732029253,3.482056404,0.831999827,3.855892507,0.123133774,3.8
39,95,0.798731506,2.91265464,2.418112781,1.169763648,0.984580031,2.199470413,0.121825756,2.3
40,94,3.33299695,1.877125257,1.702421479,3.33556785,1.427269758,2.851371728,0.121460148,3.3
41,142,0.794208722,1.023901593,1.896871863,2.220720033,1.290213307,4.452934436,0.119644829,2.8
42,92,1.231700929,3.908968217,3.091108654,2.769385092,0.66795386,2.853982742,0.119243082,3.8
43,91,3.224961342,3.807651991,3.236389306,3.848137465,0.673757806,3.5394871,0.119175223,3.8
44,139,2.13785304,2.96028285,3.777544088,1.22522334,0.421224809,2.864020993,0.118715247,2.3
45,61,1.90066701,3.741397403,4.417501821,3.56778888,1.087770947,2.404324388,0.118405622,2.3
46,74,0.881259357,4.210297064,3.275264219,1.406781324,0.619818351,2.763282804,0.116955201,2.3
47,177,1.544490518,2.197508702,2.400260188,3.243875596,1.699627697,1.730205151,0.116154463,3.8
48,2,2.041902373,2.911479868,1.80800658,4.223744148,1.126427869,3.279083796,0.113201183,3.8
49,66,0.87814975,4.20193911,4.743603897,1.999410795,1.869061874,3.371062996,0.10934386,2.8
50,115,1.317961148,2.224773187,4.67196636,1.827111004,1.357143818,2.704769701,0.10783825,3.3
51,126,0.826448359,3.45444952,1.905293952,2.209818204,1.365755542,1.401969059,0.106356846,3.3
52,191,4.17545594,3.069859765,4.293474088,3.202612301,0.202464822,3.908415976,0.100628522,3.8
53,121,3.691589081,1.13687478,1.834599503,1.666653629,0.445981569,3.695987328,0.10045751,1.8
54,130,2.609313515,4.074050399,2.726662862,4.021179959,0.995910463,3.884864865,0.100182784,1.8
55,129,2.354183341,1.554193004,3.676768176,2.483437969,0.27249048,4.367253953,0.092189167,1.8
56,108,2.104264308,3.598571761,2.886319486,2.811291359,1.991146829,3.587910614,0.088330437,0.8
57,176,2.7422879,0.986561141,3.596132435,1.910231836,0.159687285,3.580962143,0.087378646,2.8
58,64,1.782999697,3.011333475,3.61179377,3.829816691,1.291199705,2.669732121,0.086608353,1.3
59,109,1.383400108,2.720757896,2.01912929,3.7100043,0.235796444,3.570651938,0.079723152,3.8
60,186,3.156489858,2.038082766,2.154920405,2.232344244,0.758847256,8.274825241,0.075730153,3.3
61,10,1.844676889,1.120579499,3.2537375,0.989417329,1.775777002,3.463265438,0.07238506,3.8
62,86,3.510190942,2.361904309,1.618603232,4.060792516,1.442514466,4.319138098,0.071219417,3.3
63,185,3.560508608,1.509342854,3.86919801,2.725424824,1.303814209,3.62104594,0.067827195,3.3
64,156,1.564055248,1.366774085,3.034941908,4.140162839,0.295813906,3.624115881,0.066497602,2.3
65,57,3.767608589,3.889211853,3.238642934,2.855883058,1.864960964,5.793308136,0.066010151,2.8
66,54,1.607930704,2.481017796,2.721309601,3.72992116,1.57853786,1.503004117,0.06236793,3.8
67,98,3.675362997,4.14938118,1.637391951,1.487333619,0.815803659,2.742781875,0.061752263,3.3
68,193,2.728550816,3.729231528,4.089309959,1.804388561,1.078666308,1.621581281,0.058568418,2.8
69,40,2.035974448,1.271020489,2.20479147,1.102661397,0.745152528,1.800681692,0.058274153,3.3
70,25,1.246876111,3.240813239,1.774035365,2.991455184,1.515479553,4.097543426,0.058237763,2.3
71,0,3.999764239,1.680845784,4.466370574,3.898611702,0.227446664,2.143785409,0.058161014,1.8
72,42,0.968577113,1.546279746,1.70160151,1.591818838,0.284980183,2.068474287,0.055593002,2.3
73,194,1.568292138,1.856354124,1.708924966,1.182329432,1.838783951,2.716006736,0.053606095,3.3
74,120,3.109592074,4.054989388,3.963623977,3.663931337,0.686509794,1.3762317,0.052172533,2.3
75,24,3.503617167,3.989924269,4.654892346,1.950464678,1.032601158,3.386769452,0.049887673,2.3
76,60,3.158792166,2.010010669,3.174652243,3.338278338,0.274752795,4.098303534,0.049566757,2.3
77,131,2.161697975,3.092431971,3.295845656,3.369947846,1.229138497,9.520444229,0.043967789,3.3
78,53,3.808007632,3.630583964,2.078372685,3.189657557,1.09737592,3.193990255,0.042983725,3.8
79,197,1.567505445,3.72043105,1.674236397,2.390533459,1.475102495,2.233594048,0.042137495,3.3
80,88,1.567676658,2.531071704,3.823411437,2.635034397,1.813000647,2.375109921,0.04100758,2.8
81,41,4.389895244,2.270423256,3.610425724,2.777347377,0.808698654,2.199348689,0.039061818,3.3
82,127,2.580560379,3.552089221,3.688714663,2.060744936,1.181428238,5.471204088,0.038164644,0.25
83,136,4.086337971,3.905780778,4.232410702,3.452657127,1.39536643,3.444734147,0.03758701,3.8
84,134,1.34015405,3.893295489,3.807975646,1.959830001,0.530279977,3.016885906,0.036946426,1.3
85,105,1.146574196,1.599760901,2.684719692,1.78690016,1.952320148,3.161104155,0.033571702,2.8
86,35,2.683190655,3.947125258,2.257913324,3.303029569,1.319913605,2.945098735,0.031423878,2.3
87,179,3.71892192,3.761169747,1.991225923,2.792770039,0.346716706,1.556762404,0.030091725,3.8
88,123,3.127209706,2.255239514,1.596516515,1.395888078,0.964057078,2.466446386,0.029219249,3.8
89,182,1.742410076,2.903772286,4.148017007,3.858383497,1.154008375,1.724443064,0.02912182,2.8
90,173,0.907703443,3.003189385,3.996114708,2.304932477,1.735133583,2.598022715,0.028591196,2.8
91,23,3.159424584,2.766882648,4.083671359,2.796869951,0.76582395,1.898608082,0.026863646,2.8
92,151,3.557431367,4.233828697,3.661579863,1.274895884,0.882461354,3.210425949,0.026231036,1.8
93,128,1.763846978,4.150862148,2.23528988,1.028389479,1.27027268,3.734296905,0.025001343,1.3
94,103,0.78529952,3.635449959,3.918988775,3.046877391,1.719237412,1.059554962,0.02494719,1.8
95,159,2.48067603,3.912464319,4.466906921,1.552192569,0.38453015,3.254250974,0.020581712,3.3
96,104,4.370960236,1.025964176,3.857972595,2.435206047,1.386653179,1.770356929,0.019294668,3.3
97,101,1.559705996,3.856362641,2.648635516,3.390666795,0.484521222,2.408495693,0.016186933,2.8
98,26,4.155239535,4.073722007,2.14036743,2.996589988,1.647020389,2.596164462,0.014764713,2.3
99,48,0.804042979,3.698857633,2.325286698,3.602796361,1.913607565,2.142794095,0.014761498,1.3
100,166,3.783710877,0.983393529,2.648750529,1.016346714,0.912661532,2.298170154,0.013162099,2.8
101,140,1.235700419,1.198906643,1.872923479,4.167301649,1.160031514,2.006664163,0.012889404,1.8
102,153,0.970587701,1.164304102,2.705409943,1.974518739,0.860231968,3.148645182,0.011453056,2.8
103,180,1.748904933,1.684813215,1.775409419,1.70633001,1.994211909,3.504011041,0.008066124,2.8
104,11,2.623251965,0.976331978,1.782773978,4.173152424,0.652572687,1.224334157,0.007476328,3.8
105,170,4.301103949,3.737290684,4.472507564,2.254354366,0.501456735,4.943760088,0.006218891,3.3
106,147,3.449636017,2.079325246,4.086435584,2.430588344,0.161413084,2.444180993,0.005973977,0.25
107,124,0.810743032,3.941342944,2.938611072,3.0779933,1.33242041,1.083748802,0.005231436,1.8
108,76,3.744794004,4.00427189,2.421213081,3.680647835,0.172380667,1.292681317,0.005136184,0.25
109,132,1.115625396,3.374413734,2.590284569,3.614157484,1.668348541,4.311729598,0.003958728,2.3
110,85,3.737383639,1.070007701,4.269499192,3.519780883,1.497586238,2.73824465,0.003457981,3.3
111,198,1.826956713,2.232730441,3.065818355,1.43345216,0.623854936,4.40547157,0.003346085,0.8
112,150,0.809309896,2.606147289,3.472317085,2.182850544,1.811330113,3.266696679,0.002167791,2.3
113,122,3.971807667,0.999057183,2.935039275,1.685666796,1.303166142,1.466089232,0.001868363,2.3
114,174,4.015740679,3.467034934,3.931140971,1.924740644,1.790395218,6.36703478,0.00121625,1.3
115,36,3.89743906,3.273433791,3.017915293,2.678631649,0.606839413,2.417244083,0.000717668,2.3
116,47,1.667337577,3.077412375,3.324036365,4.160168086,1.969013762,2.694686921,0.000673503,1.8
117,96,3.923150827,1.223401058,4.444571295,1.412387951,0.482545256,3.374561242,0.000368334,3.8
118,161,1.677852747,2.986438459,4.357437599,3.877199669,0.476553714,2.197774267,0.000337039,1.3
119,75,2.148093913,3.911188535,4.463682357,3.852168029,1.18038901,1.60353466,0.000275746,1.8
120,82,0.795059552,3.107897346,3.456165561,1.560620363,1.582987746,2.828648543,0.000236175,2.8
121,4,1.461015011,2.176987636,3.225449612,2.553489233,0.778994789,4.872450471,0.000138173,3.8
122,107,0.930148147,1.444526125,2.906824152,2.275613794,0.809136871,3.879297615,7.25E-05,3.8
